sources,target,author,date,statement,processed_statement
Facebook posts,0,Marta Campabadal,"• December 4,","""The famed ship at the bottom of the North Atlantic is actually not The Titanic. It is her near-identical sister ship The Olympic.""",the famed ship at the bottom of the north atlantic is actually not the titanic it is her near identical sister ship the olympic
Facebook posts,0,Ciara O'Rourke,"December 4, 2024",“Elon Musk announces January 20th as the date for bombshell release of Diddy and Epstein client list.”,elon musk announces january th as the date for bombshell release of diddy and epstein client list
Facebook posts,0,Sofia Ahmed,"December 4, 2024",The NFL said Beyoncé is “not a good artist” and rejected her Christmas halftime show.,the nfl said beyonc is not a good artist and rejected her christmas halftime show
Viral image,0,Ciara O'Rourke,"December 3, 2024",Donald Trump ordered the “Dallas Police Department and Dallas Attorney General’s Office to begin the preparation for the arrest” of a suspect in John F. Kennedy’s assassination.,donald trump ordered the dallas police department and dallas attorney general s office to begin the preparation for the arrest of a suspect in john f kennedy s assassination
Facebook posts,0,Grace Abels,"December 3, 2024","""Mark Wahlberg calls for immediate firing of teachers who removed American flags from classrooms""",mark wahlberg calls for immediate firing of teachers who removed american flags from classrooms
Facebook posts,0,Maria Briceño,"December 3, 2024",“Disney selling ABC for $20 Billion: New owner plans to cancel 'The View’.”,disney selling abc for billion new owner plans to cancel the view
X posts,0,Sara Swann,"December 2, 2024",Kash Patel posted on X that “the FBI is gay.”,kash patel posted on x that the fbi is gay
Threads posts,0,Sofia Ahmed,"December 2, 2024","A CNN headline says, “Elon Musk considers melting down Statue of Liberty to make series of limited edition cyber trucks""",a cnn headline says elon musk considers melting down statue of liberty to make series of limited edition cyber trucks
Facebook posts,0,Loreben Tuquero,"December 2, 2024",Elon Musk is “finally releasing his first flying car today.”,elon musk is finally releasing his first flying car today
Joe Biden,0,Louis Jacobson,"December 2, 2024",On pardoning his son Hunter Biden,on pardoning his son hunter biden
Facebook posts,0,Maria Briceño,"December 2, 2024",Elon Musk demanda a “Whoopi Goldberg y The View” por $70 millones.,elon musk demanda a whoopi goldberg y the view por millones
Facebook posts,0,Jeff Cercone,"December 2, 2024",“Chick fil-A’s new policies have people thinking (of a) boycott.”,chick fil a s new policies have people thinking of a boycott
Facebook posts,0,Sofia Ahmed,"November 27, 2024","“Elon Musk reveals Tesla 2025 motorhome for under $17,000!”",elon musk reveals tesla motorhome for under
Instagram posts,0,Ciara O'Rourke,"November 27, 2024",Video shows President-elect Donald Trump announcing “free college education” in November 2024.,video shows president elect donald trump announcing free college education in november
Viral image,0,Ciara O'Rourke,"November 27, 2024",“Abortion clinics warn they’ll go bankrupt if Democrat ‘sex strike’ continues.”,abortion clinics warn they will go bankrupt if democrat sex strike continues
Facebook posts,0,Kwasi Gyamfi,"• November 27,","Smallpox was “never eradicated, it’s held in check by vaccines,” and RFK Jr. would eliminate coverage for the smallpox vaccine.",smallpox was never eradicated it is held in check by vaccines and rfk jr would eliminate coverage for the smallpox vaccine
Instagram posts,0,Caleb McCullough,"November 27, 2024",“The CDC says that little 6 month old babies must get SEVEN doses of the Covid vaccine in order to be considered fully ‘up to date’ on their vaccinations.”,the cdc says that little month old babies must get seven doses of the covid vaccine in order to be considered fully up to date on their vaccinations
Threads posts,0,Jeff Cercone,"November 27, 2024","Rep. Marjorie Taylor Greene said “if every member of Congress had to resign for doing what Matt Gaetz has been accused of, Democrats would have a supermajority.’""",rep marjorie taylor greene said if every member of congress had to resign for doing what matt gaetz has been accused of democrats would have a supermajority
Threads posts,0,Loreben Tuquero,"November 27, 2024","“Texas just gifted Trump 355,000 acres for deportation camps.”",texas just gifted trump acres for deportation camps
Facebook posts,0,Marta Campabadal,"• November 27,","Elon Musk dijo que ""¡El teléfono Tesla de 299 dólares será el final del iPhone!"".",elon musk dijo que el tel fono tesla de d lares ser el final del iphone
Facebook posts,0,Maria Briceño,"November 27, 2024","“Elon Musk, revela un nuevo motor impulsado por agua que promete cambiar por completo la industria automotriz”.",elon musk revela un nuevo motor impulsado por agua que promete cambiar por completo la industria automotriz
Facebook posts,0,Ciara O'Rourke,"November 26, 2024",Says Travis Kelce quit X and called it a “toxic waste dump.”,says travis kelce quit x and called it a toxic waste dump
Instagram posts,0,Caleb McCullough,"November 26, 2024","""Half of all Ukrainian aid was laundered and sent back to Democrat candidates for re-election.""",half of all ukrainian aid was laundered and sent back to democrat candidates for re election
Instagram posts,0,Sofia Ahmed,"November 26, 2024",AOC posted that Trump’s election victory emboldened a conservative news outlet to call for her resignation because she’s a woman.,aoc posted that trump s election victory emboldened a conservative news outlet to call for her resignation because she is a woman
Facebook posts,0,Jeff Cercone,"November 26, 2024","""Ireland will pay you $90,000 to move to a beautiful island home.”",ireland will pay you to move to a beautiful island home
Facebook posts,0,Ciara O'Rourke,"November 26, 2024","“Michael Jordan turns down $100 million Disney deal, declares he won’t work for wokeness.”",michael jordan turns down million disney deal declares he will not work for wokeness
Facebook posts,0,Marta Campabadal,"• November 26,","Celebrities including Bruce Springsteen, Robert De Niro, Robert Downey Jr., John Legend and Tom Hanks have announced they are leaving the U.S. following the 2024 election.",celebrities including bruce springsteen robert de niro robert downey jr john legend and tom hanks have announced they are leaving the you s following the election
Facebook posts,0,Maria Briceño,"November 26, 2024",“Donald Trump has officially banned” same-sex marriage “in all 50 states in America.”,donald trump has officially banned same sex marriage in all states in america
Donald Trump,0,Madeline Heim,"November 26, 2024","“With your Democrat governor, you have some of the highest electricity prices and highest energy costs. It’s just about at the top in Wisconsin.”",with your democrat governor you have some of the highest electricity prices and highest energy costs it is just about at the top in wisconsin
Threads posts,0,Sofia Ahmed,"November 26, 2024",Donald Trump lost the popular vote by 2%.,donald trump lost the popular vote by
Social Media,0,Sofia Ahmed,"November 26, 2024","Una mujer posó junto a su hija con un cartel que dice, “Quiero que mi hija tenga el derecho a abortar que yo no tuve”.",una mujer pos junto a su hija con un cartel que dice quiero que mi hija tenga el derecho a abortar que yo no tuve
Instagram posts,0,Caleb McCullough,"November 25, 2024",“Rachel Maddow MELTS DOWN over Elon Musk posting memes about buying MSNBC.”,rachel maddow melts down over elon musk posting memes about buying msnbc
Instagram posts,0,Marta Campabadal,"• November 25,","""Donald Trump has appointed NBA legend Karl Malone as the new director of Child Protective Services.""",donald trump has appointed nba legend karl malone as the new director of child protective services
Social Media,0,Sofia Ahmed,"November 25, 2024","A woman holds a sign that says, “I want my daughter to have the right to abortion that I didn’t have.”",a woman holds a sign that says i want my daughter to have the right to abortion that i did not have
Facebook posts,0,Maria Briceño,"November 22, 2024","""Kyle Rittenhouse registers a lien against Whoopi Goldberg’s Malibu home for $22 million.”",kyle rittenhouse registers a lien against whoopi goldberg s malibu home for million
Facebook posts,0,Sofia Ahmed,"November 22, 2024",“Taylor Swift has moved to Canada after leaving the U.S. following the big red wave.”,taylor swift has moved to canada after leaving the you s following the big red wave
